phrasal_type,phrase,ngram,CES,Mturk_result,Multiple_label_yes,Final_edit_yes,CNP_specific_yes,Frequency_over_10_yes
VP,access trail,2,Recreational,Recreational,,,,
VP,add short walk,3,Recreational,Recreational,,,,
VP,admire andean landscape,3,Aesthetic,Aesthetic,,,CNP,
VP,admire beauty,2,Aesthetic,Aesthetic,,,,
VP,admire landscape,2,Aesthetic,Aesthetic,,,,
VP,admire nature,2,Aesthetic,Aesthetic,,,,
VP,admire wonder of nature,4,Aesthetic,Aesthetic,,,,
NP,adrenaline experience,2,Spiritual,Spiritual,,,,
NP,adrenaline ride,2,Recreational,Recreational,,,,
VP,adventure to,2,Recreational,Recreational,,,,
NP,adventure walk,2,Recreational,Recreational,,,,
NP,afternoon stroll,2,Recreational,Recreational,,,,
NP,alpaca and llama,3,Biological,Biological,,,,
NP,alpaca on hill,3,Biological,Recreational,,"replaced, second frequent CES",CNP,
NP,alpine flora,2,Biological,Biological,,,,
NP,alpine flower,2,Biological,Biological,,,,
NP,alpine forest,2,Biological,Biological,,,CNP,
NP,alpine grass,2,Biological,Biological,,,,
NP,alpine lake,2,Aesthetic,Aesthetic,,,,
NP,alpine plant,2,Biological,Biological,,,,
NP,alpine tundra,2,Biological,Biological,,,,
NP,alpine wilderness,2,Identity,Identity,Y,,,
NP,alpine wilderness,2,Biological,Identity,Y,"added, second frequent CES",,
NP,alpine wildflower,2,Biological,Biological,,,,
NP,amazing beauty,2,Aesthetic,Aesthetic,,,,
NP,amazing hike,2,Recreational,Recreational,,,,
NP,amazing hiking,2,Recreational,Recreational,,,,
NP,amazing landscape,2,Aesthetic,Aesthetic,,,,
NP,amazing mountain,2,Aesthetic,Aesthetic,,,,
NP,amazing national park,3,Aesthetic,Aesthetic,,,,
NP,amazing nature,2,Aesthetic,Aesthetic,,,,
NP,amazing park,2,Identity,Identity,,,,
NP,amazing photo,2,Aesthetic,Aesthetic,,,,
NP,amazing place,2,Aesthetic,Aesthetic,,,,Y
NP,amazing plant,2,Biological,Biological,,,,
NP,amazing plant life,3,Biological,Biological,,,,
NP,amazing scenery,2,Aesthetic,Aesthetic,,,,Y
NP,amazing vegetation,2,Biological,Biological,,,,
NP,amazing view,2,Aesthetic,Aesthetic,,,,Y
NP,amazing vista,2,Aesthetic,Aesthetic,,,,
NP,american condor,2,Biological,Biological,,,,
NP,andean condor,2,Biological,Biological,,,CNP,
NP,andean duck,2,Biological,Biological,,,CNP,
NP,andean forest,2,Biological,Biological,,,CNP,
NP,andean gull,2,Biological,Biological,,,CNP,
NP,andean landscape,2,Biological,Biological,Y,,CNP,Y
NP,andean landscape,2,Aesthetic,Biological,Y,"added, manually",CNP,Y
NP,andean moorland,2,Biological,Biological,,,CNP,
NP,andean mountain,2,Identity,Identity,,,CNP,
NP,andean nature,2,Identity,Identity,,,CNP,
NP,andean paramo,2,Identity,Identity,Y,,CNP,
NP,andean paramo,2,Biological,Identity,Y,"added, second frequent CES",CNP,
NP,andean park,2,Biological,Biological,,,CNP,
NP,andean toucan,2,Biological,Biological,,,CNP,
NP,andean turkey,2,Biological,Biological,,,CNP,
NP,andean vegetation,2,Biological,Biological,,,CNP,
NP,animal life,2,Biological,Biological,,,,
VP,appreciate beauty of lake,4,Aesthetic,Aesthetic,,,,
VP,appreciate endemic flora,3,Biological,Biological,,,,
VP,appreciate great variety of plant,5,Biological,Biological,,,,
VP,appreciate landscape,2,Aesthetic,Aesthetic,,,,
VP,appreciate nature,2,Spiritual,Spiritual,,,,
VP,appreciate park,2,Aesthetic,Aesthetic,,,,
VP,appreciate plant and animal,4,Biological,Biological,,,,
VP,appreciate solitude,2,Spiritual,Spiritual,,,,
NP,appreciation of Andes Mountains,4,Identity,Identity,,,CNP,
NP,appreciation of fauna,3,Biological,Biological,,,,
VP,arrange horseback ride,3,Recreational,Recreational,,,,
VP,attempt big hike,3,Recreational,Recreational,,,,
VP,attempt hike,2,Recreational,Recreational,,,,
NP,attractive place,2,Aesthetic,Aesthetic,,,,
NP,awesome place,2,Aesthetic,Aesthetic,,,,
NP,awesome view,2,Aesthetic,Aesthetic,,,,
NP,baby llama,2,Biological,Biological,,,,
VP,be alone with nature,4,Spiritual,Spiritual,,,,
VP,be also ideal for fishing,5,Recreational,Recreational,,,,
VP,be at altitude,3,Identity,Identity,,,,
VP,be at high altitude,4,Recreational,Recreational,,,,
VP,be at peace,3,Spiritual,Spiritual,,,,
VP,be at peace with nature,5,Spiritual,Spiritual,,,,
VP,be away from city,4,Spiritual,Spiritual,,,,
VP,be away from civilization,4,Spiritual,Spiritual,,,,
VP,be bird,2,Biological,Biological,,,,
VP,be great escape from city,5,Spiritual,Spiritual,,,,
VP,be high in altitude,4,Identity,Identity,,,,
VP,be in contact with nature,5,Spiritual,Spiritual,,,,Y
VP,be in mountain,3,Recreational,Recreational,,,,
VP,be in silence,3,Spiritual,Spiritual,,,,
VP,be in touch with nature,5,Spiritual,Spiritual,,,,
VP,be interested in botany,4,Biological,Biological,,,,
VP,be interested in plant,4,Biological,Biological,,,,
VP,be intermittent mist,3,Identity,Spiritual,,"replaced, manually",,
VP,be intermittent mist and shower,5,Identity,Aesthetic,,"replaced, manually",,
VP,be into serious hiking,4,Recreational,Recreational,,,,
VP,be lake,2,Aesthetic,Identity,,"replaced, manually",,
VP,be life source,3,Spiritual,Spiritual,,,,
VP,be lot of andean wildlife,5,Biological,Biological,,,CNP,
VP,be lot of fog,4,Identity,Biological,,"replaced, manually",,
VP,be lot of wind,4,Identity,Identity,,,,
VP,be many trail to hike,5,Recreational,Recreational,,,,
VP,be most wet forest,4,Biological,Biological,,,,
VP,be on hike,3,Recreational,Recreational,,,,
VP,be rough walking,3,Recreational,Recreational,,,,
VP,be source of inspiration,4,Spiritual,Spiritual,,,,
VP,be together with family,4,Social,Social,,,,
VP,be variety of hiking trail,5,Recreational,Recreational,,,,
VP,be water source of city,5,Identity,Identity,,,,
