Category,Phrase,CES,Multiple CES,CNP-specific
NP,absolute silence,Spiritual,, 
VP,absorb beauty,Aesthetic,, 
VP,absorb view,Aesthetic,, 
NP,abundance of wildlife,Biological,, 
NP,abundant wildlife,Biological,, 
VP,access trail,Recreational,,CNP
VP,accompany my husband,Social,, 
VP,accompany my wife,Social,, 
NP,active geyser,Identity,, 
NP,active volcano,Identity,, 
NP,actual fossil,Educational,1, 
NP,actual fossil,Biological,2, 
VP,add short walk,Recreational,,CNP
VP,admire andean landscape,Aesthetic,1,CNP
VP,admire andean landscape,Recreational,2,CNP
VP,admire beauty,Aesthetic,,CNP 
VP,admire fantastic scenery,Aesthetic,, 
VP,admire gorgeous view,Aesthetic,, 
VP,admire landscape,Aesthetic,,CNP
VP,admire nature,Aesthetic,1,CNP 
VP,admire nature,Recreational,2,CNP 
VP,admire scenery,Aesthetic,, 
VP,admire spectacular scenery,Aesthetic,, 
VP,admire stark beauty,Aesthetic,, 
VP,admire stunning scenery,Aesthetic,, 
VP,admire unique beauty,Aesthetic,, 
VP,admire vastness,Aesthetic,, 
VP,admire view,Aesthetic,, 
VP,admire wonder of nature,Aesthetic,,CNP
NP,adrenaline experience,Spiritual,,CNP
NP,adrenaline ride,Recreational,,CNP
VP,adventure out,Recreational,, 
VP,adventure to,Recreational,,CNP
NP,adventure walk,Recreational,,CNP 
NP,adventurous hike,Recreational,, 
NP,afternoon stroll,Recreational,,CNP 
NP,alligator and bird,Biological,, 
NP,alluvial fan,Identity,1, 
NP,alluvial fan,Biological,2, 
NP,alpaca and llama,Biological,,CNP
NP,alpaca on hill,Recreational,1,CNP
NP,alpaca on hill,Biological,2,CNP
NP,alpine flora,Biological,,CNP 
NP,alpine flower,Biological,,CNP 
NP,alpine forest,Biological,,CNP 
NP,alpine grass,Biological,,CNP
NP,alpine lake,Aesthetic,1,CNP 
NP,alpine lake,Biological,2,CNP 
NP,alpine meadow,Biological,, 
NP,alpine plant,Biological,,CNP 
NP,alpine tundra,Biological,,CNP 
NP,alpine wilderness,Identity,1,CNP 
NP,alpine wilderness,Biological,2,CNP 
NP,alpine wildflower,Biological,,CNP 
NP,amazing adventure,Recreational,, 
NP,amazing arch,Identity,, 
NP,amazing beauty,Aesthetic,,CNP 
NP,amazing canyon,Aesthetic,1, 
NP,amazing canyon,Identity,2, 
NP,amazing colour,Aesthetic,, 
NP,amazing drive,Recreational,, 
NP,amazing hike,Recreational,,CNP 
NP,amazing hiking,Recreational,,CNP 
NP,amazing history,Cultural,, 
NP,amazing hoodoo,Spiritual,1, 
NP,amazing hoodoo,Cultural,2, 
NP,amazing landscape,Aesthetic,,CNP 
NP,amazing mountain,Aesthetic,,CNP 
NP,amazing national park,Aesthetic,,CNP 
NP,amazing natural wonder,Aesthetic,, 
NP,amazing nature,Aesthetic,,CNP 
NP,amazing panoramic view,Aesthetic,, 
NP,amazing park,Identity,,CNP 
NP,amazing photo,Aesthetic,,CNP 
NP,amazing photo opportunity,Aesthetic,, 
NP,amazing picture,Aesthetic,, 
NP,amazing place,Aesthetic,,CNP 
NP,amazing plant,Biological,,CNP 
NP,amazing plant life,Biological,,CNP 
NP,amazing scene,Aesthetic,, 
NP,amazing scenery,Aesthetic,,CNP 
NP,amazing sight,Aesthetic,, 
NP,amazing sunrise,Aesthetic,, 
NP,amazing tree,Aesthetic,1, 
NP,amazing tree,Biological,2, 
NP,amazing vegetation,Biological,,CNP 
